Score2021,Score2017,CPIA 2024,Country,All commodities,Agriculture,Energy,Mining
,34,1.7,Afghanistan,96.70%,65%,5.40%,26.30%
,,,Algeria,93.90%,1%,92.80%,0.20%
,,..,Angola,98.30%,0.40%,94.10%,3.70%
,,..,Armenia,76.20%,25.80%,1.60%,48.70%
,,,Azerbaijan,95.80%,5.50%,88%,2.30%
,,,Bahrain,72.40%,4.70%,34.20%,33.40%
,,3.108333,Bangladesh,4.90%,4.40%,0.20%,0.40%
,,3.925,Benin,92.10%,61.40%,7.50%,23.10%
,61,,Botswana,94%,2%,0.40%,91.60%
,59,3.4,Burkina Faso,97.20%,12.50%,0.60%,84.10%
,,3.066667,Burundi,95.10%,36.10%,1.30%,57.70%
,,3.875,Cabo Verde,,,,
,,3.366667,Cameroon,92.40%,39.70%,46.10%,6.70%
,,,Central Africa,76.90%,59.50%,0.10%,17.30%
,,2.75,Chad,98.30%,8%,90.20%,0.10%
,,2.691667,Comoros,52.90%,51.70%,0%,1.10%
,,,Congo,94%,4.50%,76.80%,12.70%
,,,Congo (DRC),82.20%,1.60%,3.60%,77%
,,,Côte d’Ivoire,91.60%,66.80%,15.30%,9.40%
,,3.125,Djibouti,49.10%,30.10%,12.20%,6.90%
,,,Egypt,54%,17.90%,26.20%,9.90%
,,,Equatorial Guinea,93.20%,2.90%,89.90%,0.40%
,10,1.691667,Eritrea,91.20%,50.40%,0%,40.80%
,,,Eswatini,35.10%,31.70%,1.30%,2%
,40,3.191667,Ethiopia,80.80%,77.20%,0%,3.60%
,,,Gabon,90.30%,19.80%,57.30%,13.20%
,,,Gambia,89.80%,75%,7.60%,7.20%
,,..,Georgia,52.70%,26.60%,0.70%,25.40%
69,56,3.408333,Ghana,95.30%,25.20%,28.80%,41.30%
62,38,3.325,Guinea,95%,4.10%,3.70%,87.20%
,,2.633333,Guinea-Bissau,98.30%,93.60%,4.40%,0.30%
,,..,India,36.70%,12.80%,12.90%,11%
,,,Iraq,99.70%,0.30%,95.30%,4.10%
,,,Jordan,27%,13.70%,1.80%,11.50%
,,,Kazakhstan,85.80%,6.50%,63.10%,16.30%
,,3.85,Kenya,71.90%,57.30%,4.60%,10%
,,,Kuwait,85.70%,1.40%,83.50%,0.80%
,,,Kyrgyzstan,81.70%,15%,4.60%,62.10%
,,,Lebanon,54.80%,18.40%,0.80%,35.70%
,,3.266667,Lesotho,43.20%,7.80%,0%,35.30%
,44,3.058333,Liberia,74.30%,17.10%,1.50%,55.70%
,,,Libya,98.90%,0.20%,91.60%,7.10%
,36,3.275,Madagascar,73.90%,41.70%,0.90%,31.20%
,,2.958333,Malawi,93.40%,92.50%,0.10%,0.80%
,,3.016667,Maldives,,,,
,53,3.125,Mali,96.70%,11%,0.30%,85.40%
,29,3.583333,Mauritania,98.80%,32.10%,0.50%,66.10%
,,,Mauritius,45.40%,38.20%,0.40%,6.80%
,,,Morroco,29.40%,22.60%,0.50%,6.30%
,,3.05,Mozambique,95.70%,19.80%,38.40%,37.50%
,,,Namibia,85.20%,22.30%,1.60%,61.30%
,,3.391667,Nepal,49.90%,47.70%,0%,2.10%
,54,3.15,Niger,90.40%,18%,19.20%,53.20%
,,3.208333,Nigeria,95%,3.50%,89.80%,1.70%
,,,Oman,64.40%,6.30%,49.60%,8.40%
,,3.308333,Pakistan,24.90%,20.30%,1%,3.60%
,,,Palestine,34.40%,22.40%,0.10%,11.90%
,,,Qatar,86.60%,0.10%,83.60%,2.90%
,,4.158333,Rwanda,91.40%,29.50%,4.20%,57.70%
,,,Sao Tome & Principe,,,,
,,,Saudi Arabia,74.40%,2.20%,69.40%,2.80%
75,,3.616667,Senegal,76.30%,31%,21.50%,23.90%
,,,Seychelles,,,,
,46,3.066667,Sierra Leone,87.30%,29.50%,0.70%,57%
,,2.241667,Somalia,96.10%,66.70%,0%,29.40%
,,,South Africa (RSA),63.70%,11.90%,8.80%,42.90%
,,1.625,South Sudan,99.90%,2.90%,93.80%,3.10%
,,3.225,Sri Lanka,33.30%,28%,2.50%,2.90%
,,1.816667,Sudan,97.50%,62.20%,6.50%,28.80%
,,,Syria,68%,62.60%,3.90%,1.50%
,,3.191667,Tajikistan,80.80%,20%,4.30%,56.60%
58,49,3.558333,Tanzania,88.20%,37.50%,1.50%,49.10%
,,3.766667,Togo,64.70%,23.40%,29.30%,12%
50,46,,Tunisia,19.10%,11.80%,5.40%,1.80%
,,,Turkmenistan,92.50%,2.10%,89.60%,0.80%
55,,3.508333,Uganda,86.60%,45.10%,5%,36.50%
,,,United Arab Emirates,64%,5.30%,35.30%,23.40%
,,3.841667,Uzbekistan,74%,14.50%,19%,40.40%
,,,Yemen,93.90%,21.90%,59.20%,12.80%
,50,3.283333,Zambia,88.70%,9%,1%,78.70%
,29,2.983333,Zimbabwe,88.20%,31.40%,0.90%,55.90%
,,,Brazil,73.40%,41.30%,13.20%,19%
,,,Chile,88.30%,28.80%,0.70%,58.70%
,,,Argentina,82.10%,75.50%,3.90%,2.70%
,,,Bolivia,94.60%,18.90%,27.10%,48.60%
