Country Name,Average time to clear exports through customs (days),Container port traffic (TEU: 20 foot equivalent units),GDP growth (annual %),GDP per capita (current US$),Liner shipping connectivity index (maximum value in 2004 = 100),Rail lines (total route-km)
Afghanistan,NA,NA,2.266943736,413.7578947,NA,NA
Algeria,NA,1541273,3.299999999,5631.179991,12.84251801,NA
Angola,NA,563895,4.423904529,2122.08369,23.60397302,NA
Argentina,NA,1705390,-1.719105147,13858.20398,33.06590507,NA
Armenia,12.02353573,NA,5.9,8500.605225,NA,698.4
Azerbaijan,NA,NA,4.071402105,7283.83563,NA,2239.18
Bahrain,NA,464010,3.017248391,30048.21777,25.12496499,NA
Bangladesh,NA,2897709,4.223259113,2593.416074,13.80449154,NA
Benin,NA,NA,7.453115662,1485.38019,18.40028664,NA
Bolivia,NA,NA,1.38468279,4001.21134,NA,NA
Botswana,NA,NA,-2.989868795,7695.242064,NA,886
Brazil,NA,10450632,3.395866455,10280.31486,36.81357973,NA
Burkina Faso,NA,NA,4.985103006,987.3213781,NA,518
Burundi,NA,NA,3.489231748,153.9302179,NA,NA
Cabo Verde,NA,76139,7.271881472,5272.85253,4.231495443,NA
Cameroon,NA,366667,3.670742847,1762.368351,18.94577224,884
Central African Republic,NA,NA,1.539632475,516.1704245,NA,NA
Chad,NA,NA,3.654451105,1016.088807,NA,NA
Chile,NA,4217172,2.644311549,16709.8894,36.21516166,2396
Comoros,NA,NA,3.388783506,1784.115469,6.129598168,NA
Democratic Republic of the Congo,NA,NA,6.67593029,647.4357048,5.125131987,3641
Congo (Republic of the),NA,930000,2.579666395,2482.248947,24.83030274,NA
Djibouti,NA,860000,5.953829989,3496.471119,32.49643947,NA
Egypt,6.700059414,7564385,2.399169268,3338.473714,68.5087319,NA
Equatorial Guinea,NA,6207,0.907248246,6745.400132,11.66140113,NA
Eritrea,NA,NA,NA,NA,4.356940501,NA
Eswatini,NA,NA,2.640704616,3936.109692,NA,NA
Ethiopia,NA,NA,7.316691128,NA,NA,NA
Gabon,NA,180000,3.383907608,8218.763071,12.45776091,648
Gambia,NA,NA,5.746717655,908.5256742,6.168405971,NA
Georgia,NA,490670,9.428572202,9193.663664,6.172208191,1411
Ghana,NA,1324504,5.684872604,2405.794664,39.9862069,NA
Guinea,NA,250000,5.668523935,1717.023181,7.88121296,NA
Guinea-Bissau,NA,NA,4.813485952,962.9836279,4.057454974,NA
India,NA,17597062,6.48422363,2696.6639,57.21854093,67955.63
Iraq,NA,NA,-1.545251983,6073.610323,34.39329113,NA
Jordan,NA,857283,2.488894096,4618.095925,33.96811722,NA
Kazakhstan,NA,NA,4.8,14005.34874,NA,16063
Kenya,NA,1359579,4.496498285,2206.134979,16.72504284,NA
Kuwait,NA,863618,-2.560111133,32213.86223,11.28283221,NA
Kyrgyzstan,NA,NA,9.040135561,2419.265536,NA,424
Lebanon,NA,832954,-0.76058447,3477.724898,33.17758183,NA
Lesotho,NA,NA,2.762238185,971.8146205,NA,NA
Liberia,NA,NA,4.792914822,846.2773684,7.433794275,NA
Libya,NA,NA,-0.605832527,6318.40314,12.40107525,NA
Madagascar,NA,NA,4.2,544.9973027,7.765154056,673
Malawi,NA,NA,1.82685,508.3712735,NA,NA
Maldives,NA,NA,5.133962231,13215.53536,7.215384739,NA
Mali,NA,NA,5.004545937,1086.176218,NA,NA
Mauritania,NA,NA,5.2,2082.783744,6.166713965,728
Mauritius,NA,438078,4.693903184,11871.73368,33.73429687,NA
Morocco,NA,7000928,3.236513735,3993.387451,68.05225001,2295
Mozambique,NA,417459,1.851775025,647.2857995,14.54538699,NA
Namibia,NA,154207,3.711544974,4413.127442,14.59477899,NA
Nepal,NA,NA,3.665374307,1447.310045,NA,NA
Niger,NA,NA,8.421597895,722.7486503,NA,NA
Nigeria,NA,1548622,3.426439471,806.9456951,21.25095109,NA
Oman,NA,5141830,1.67407663,20248.41681,60.72164458,NA
Pakistan,NA,3161000,3.234784432,1484.749859,40.78238378,NA
Qatar,NA,1412689,2.768414336,76275.90768,36.85281265,NA
Rwanda,NA,NA,8.890655296,999.6545614,NA,NA
Sao Tome and Principe,NA,NA,0.900000599,3244.828997,4.93629905,NA
Saudi Arabia,NA,9330437,1.807955151,35057.22523,70.00213334,NA
Senegal,NA,696899,6.892007403,1743.988884,17.03210287,NA
Seychelles,NA,NA,3.465680664,17858.82264,8.459323297,NA
Sierra Leone,NA,NA,4.000000026,873.3885752,12.79403976,NA
Somalia,NA,NA,3.972320809,636.9834776,10.13299128,NA
South Africa,8.218905449,4075618,0.579853692,6253.371582,41.25694983,20953
South Sudan,NA,NA,NA,NA,NA,NA
Sri Lanka,NA,6850000,5.00871931,4515.567873,71.99260717,NA
Sudan,NA,396267,-13.49329206,989.3128662,9.523067059,2747
Syria,NA,243348,-1.207264203,847.3727234,8.687274683,NA
Tajikistan,NA,NA,8.39999981,1341.20229,NA,662
Tanzania,NA,709881,5.526313831,1185.745483,15.65593193,NA
Togo,NA,1725270,5.300005314,1043.140929,36.57226174,NA
Tunisia,6.7239604,483178,1.350652535,4350.371797,6.145712418,1777
Turkmenistan,NA,NA,2.264117227,8571.607029,NA,NA
Uganda,NA,NA,6.136452018,1072.713698,NA,NA
United Arab Emirates,NA,18721000,3.761615446,49377.56434,76.49649888,261
Uzbekistan,NA,NA,6.5,3161.700106,NA,4732
Yemen,NA,423393,NA,433.1740151,7.753847218,NA
Zambia,NA,NA,4.043148299,1235.084665,NA,NA
Zimbabwe,NA,NA,2.029484143,2656.409377,NA,3120
