Country.Name,product_code_1,product_code_2,product_code_3,product_code_4,product_code_5,product_code_6,product_label_1,product_label_2,product_label_3,product_label_4,product_label_5,product_label_6,exports_2024_1,exports_2024_2,exports_2024_3,exports_2024_4,exports_2024_5,exports_2024_6,pct_of_total_1,pct_of_total_2,pct_of_total_3,pct_of_total_4,pct_of_total_5,pct_of_total_6
Mali,'7801,'7602,'7326,'7216,'7208,'7309,Unwrought lead :,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Articles of iron or steel, n.e.s. (excl. cast articles)",Other Iron,Other Iron,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of > 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated (excluding containers specifically constructed or equipped for one or more types of transport)",2451,682,286,220,135,135,0.119104312,0.033141224,0.013897933,0.010690718,0.006560213,0.006560213
Mauritania,'7305,'7802,'7311,'7308,'7326,'7614,"Tubes and pipes, having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel ""e.g., welded, riveted or similarly closed""","Lead waste and scrap (excluding ashes and residues from lead production ""heading No 2620"", and ingots or other similar unwrought shapes, of remelted waste and scrap, of lead ""heading No 7801"" and waste and scrap of primary cells, primary batteries et electric accumulators)","Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically constructed or equipped for one or more types of transport)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)","Articles of iron or steel, n.e.s. (excl. cast articles)",Other Aluminium,789,787,341,285,167,137,0.009507049,0.00948295,0.004108877,0.003434105,0.002012265,0.00165078
Mauritius,'7204,'7404,'7610,'7403,'7602,'7308,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)",Other Aluminium,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)",16752,7008,6927,5556,5208,2455,0.477679899,0.199831706,0.197522007,0.158428219,0.148505069,0.07000383
Morocco,'7403,'7404,'8108,'7602,'7326,'8105,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)",Titanium and articles thereof,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Articles of iron or steel, n.e.s. (excl. cast articles)",Cobalt mattes and other intermediate products,304387,88198,80371,48733,40153,33728,0.314127442,0.091020353,0.082942887,0.050292465,0.041437904,0.034807302
Mozambique,'7601,'7605,'7306,'7204,'7801,'7404,Unwrought aluminium,Other Aluminium,"Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406,4 mm)","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)",Unwrought lead :,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)",1122174,161116,23201,12509,10288,6464,6.833122181,0.981064713,0.141275121,0.076169583,0.062645509,0.039360475
Namibia,'7403,'7228,'7204,'7326,'7404,'7308,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Other Iron,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Articles of iron or steel, n.e.s. (excl. cast articles)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)",363103,27092,20753,19317,10876,6405,2.781252932,0.207516061,0.158961347,0.147962046,0.083306684,0.049060253
Nepal,'7210,'7211,'7209,'7323,'7801,'7409,Other Iron,Other Iron,Other Iron,"Table, kitchen or other household articles, and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel (excl. cans, boxes and similar containers of heading 7310; waste baskets; shovels, corkscrews and other articles of the nature of a work implement; articles of cutlery, spoons, ladles, forks etc. of heading 8211 to 8215; ornamental articles; sanitary ware)",Unwrought lead :,Other Copper,77391,9795,9687,8447,7942,7309,3.050297931,0.386061276,0.381804552,0.332931047,0.313026917,0.288077781
Niger,'7308,'7204,'7210,'7307,'7318,'7314,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)",Other Iron,"Tube or pipe fittings ""e.g. couplings, elbows, sleeves"", of iron or steel","Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. spring washers, and similar articles, of iron or steel (excl. lag screws, stoppers, plugs and the like, threaded)","Cloth, incl. endless bands, grill, netting and fencing, of iron or steel wire, expanded metal of iron or steel (excl. woven products of metal fibres of a kind used for cladding, lining or similar purposes)",870,72,39,8,7,5,0.043164011,0.003572194,0.001934938,0.00039691,0.000347297,0.000248069
Oman,'7207,'7601,'7203,'7606,'7214,'7605,Other Iron,Unwrought aluminium,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",Other Aluminium,Other Iron,Other Aluminium,1820804,717758,369993,270667,145950,84935,1.314437176,0.518149015,0.267097696,0.195394324,0.105361206,0.061314519
Pakistan,'7403,'7612,'7601,'7210,'7801,'7615,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Other Aluminium,Unwrought aluminium,Other Iron,Unwrought lead :,Other Aluminium,801760,58553,57526,47266,33007,26762,1.234975709,0.090190996,0.088609076,0.072805281,0.050841702,0.041222336
Palestine,'7602,'7606,'7804,'7802,'7419,'7326,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)",Other Aluminium,Other Lead,"Lead waste and scrap (excluding ashes and residues from lead production ""heading No 2620"", and ingots or other similar unwrought shapes, of remelted waste and scrap, of lead ""heading No 7801"" and waste and scrap of primary cells, primary batteries et electric accumulators)",Other Copper,"Articles of iron or steel, n.e.s. (excl. cast articles)",1835,188,165,88,15,5,0.940080739,0.096313449,0.084530421,0.045082891,0.007684584,0.002561528
Qatar,'7601,'7214,'7403,'7207,'7203,'7604,Unwrought aluminium,Other Iron,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Other Iron,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms","Bars, rods and profiles, of aluminium, n.e.s.",1506904,202713,150417,86124,66470,25816,0.848794813,0.114182286,0.084725483,0.048511122,0.037440601,0.014541395
Rwanda,'8001,'7801,'7602,'7403,'7210,'7601,Unwrought tin,Unwrought lead :,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Other Iron,Unwrought aluminium,22988,4942,1919,1057,898,679,1.90356633,0.409231982,0.158906551,0.087526954,0.074360647,0.056225924
Sao Tome and Principe,'7204,'7326,'7404,'7307,'7602,'7311,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Articles of iron or steel, n.e.s. (excl. cast articles)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Tube or pipe fittings ""e.g. couplings, elbows, sleeves"", of iron or steel","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically constructed or equipped for one or more types of transport)",215,46,44,25,13,13,0.218300707,0.046706198,0.044675493,0.025383803,0.013199578,0.013199578
Saudi Arabia,'7404,'7606,'7602,'7601,'7413,'7208,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)",Other Aluminium,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)",Unwrought aluminium,Other Copper,Other Iron,1376363,716779,697356,626476,261838,206756,0.225368654,0.117366944,0.11418658,0.102580535,0.04287392,0.033854675
Senegal,'7215,'7214,'7228,'7204,'7801,'7304,Other Iron,Other Iron,Other Iron,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)",Unwrought lead :,"Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)",33682,19557,16161,15937,15460,14178,0.266873117,0.154956284,0.128048704,0.126273881,0.122494459,0.112336769
Seychelles,'7404,'7602,'7204,'7311,'8110,'8112,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically constructed or equipped for one or more types of transport)",Antimony and articles thereof,"Beryllium, chromium, hafnium, rhenium, thallium, cadmium, germanium, vanadium, gallium, indium and niobium ""columbium"", and articles of these metals, n.e.s.; waste and scrap of these metals (excl. ash and residues containing these metals)",39954,7780,2235,754,178,127,3.360104956,0.654292851,0.187962021,0.063410901,0.014969682,0.010680616
Sierra Leone,'7204,'7404,'7602,'7312,'7616,'7610,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel (excl. electrically insulated products and twisted fencing wire and barbed wire)",Other Aluminium,Other Aluminium,9286,6376,5723,1685,999,957,0.304431667,0.209030402,0.187622489,0.055240939,0.032751156,0.031374231
Somalia,'7204,'7404,'7602,'7406,'7601,'7802,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Powders and flakes, of copper (excl. grains of copper and spangles of heading 8308)",Unwrought aluminium,"Lead waste and scrap (excluding ashes and residues from lead production ""heading No 2620"", and ingots or other similar unwrought shapes, of remelted waste and scrap, of lead ""heading No 7801"" and waste and scrap of primary cells, primary batteries et electric accumulators)",11016,4492,1858,471,46,30,1.181194812,0.481656418,0.19922476,0.050503155,0.004932368,0.003216761
South Africa,'7202,'7601,'7502,'7403,'7402,'7308,Ferro-alloys,Unwrought aluminium,Unwrought nickel,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Copper, unrefined; copper anodes for electrolytic refining","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)",4186926,1528671,554189,495735,384721,318637,1.896414883,0.692392088,0.251012859,0.224536864,0.174254484,0.144322577
South Sudan,'7204,'7404,'7304,'7415,'7311,'7219,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)",Other Copper,"Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically constructed or equipped for one or more types of transport)",Other Iron,21913,2706,253,100,82,65,2.208675651,0.27274569,0.025500613,0.010079294,0.008265021,0.006551541
Sri Lanka,'7317,'7612,'7610,'7403,'7318,'7801,"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, whether or not with heads of other material (excluding such articles with heads of copper and staples in strips)",Other Aluminium,Other Aluminium,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. spring washers, and similar articles, of iron or steel (excl. lag screws, stoppers, plugs and the like, threaded)",Unwrought lead :,41110,29553,18724,12492,11830,11683,0.170950919,0.122892544,0.077861469,0.051946458,0.049193612,0.04858233
Sudan,'7404,'7801,'7602,'7204,'7802,'7601,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)",Unwrought lead :,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Lead waste and scrap (excluding ashes and residues from lead production ""heading No 2620"", and ingots or other similar unwrought shapes, of remelted waste and scrap, of lead ""heading No 7801"" and waste and scrap of primary cells, primary batteries et electric accumulators)",Unwrought aluminium,5872,5665,976,671,93,76,0.096384435,0.092986686,0.016020301,0.011013957,0.001526525,0.001247482
Syria,'7204,'7601,'7403,'7602,'7801,'7418,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)",Unwrought aluminium,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)",Unwrought lead :,Other Copper,15307,3848,3537,2361,2048,601,0.829032999,0.208409158,0.191565278,0.127872667,0.110920467,0.032550391
Tajikistan,'8110,'7601,'7403,'7604,'7404,'7204,Antimony and articles thereof,Unwrought aluminium,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Bars, rods and profiles, of aluminium, n.e.s.","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)",288085,231609,45777,19678,11463,10505,8.075464251,6.49235538,1.283199497,0.551604511,0.321325465,0.294471257
Tanzania,'7210,'7801,'7306,'7214,'7601,'7208,Other Iron,Unwrought lead :,"Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406,4 mm)",Other Iron,Unwrought aluminium,Other Iron,27061,25878,15740,11083,10904,7141,0.155486726,0.148689461,0.090438678,0.063680551,0.062652055,0.041030661
Togo,'7801,'7601,'7602,'7315,'7404,'7402,Unwrought lead :,Unwrought aluminium,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Chain and parts thereof, or iron or steel (excl. watch chains, necklace chains and the like, cutting and saw chain, skid chain, scraper chain for conveyors, toothed chain for textile machinery and the like, safety devices with chains for securing doors, measuring chains)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Copper, unrefined; copper anodes for electrolytic refining",9287,9107,3990,2767,2124,1944,0.339900647,0.333312716,0.146032473,0.101271141,0.077737587,0.071149656
Tunisia,'7404,'7326,'7210,'7308,'7616,'7320,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Articles of iron or steel, n.e.s. (excl. cast articles)",Other Iron,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)",Other Aluminium,"Springs and leaves for springs, of iron or steel (excl. clock and watch springs, springs for sticks and handles of umbrellas or parasols, shock absorbers and torque rod or torsion bar springs of Section 17)",121287,97710,79101,61188,45330,42937,0.293893059,0.236763139,0.191671283,0.148265919,0.109840068,0.10404154
Turkmenistan,'7403,'7616,'7404,'7306,'7303,'7304,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Other Aluminium,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406,4 mm)","Tubes, pipes and hollow profiles, of cast iron","Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)",6069,2591,443,213,196,144,0.021944696,0.009368711,0.001601829,0.00077018,0.00070871,0.000520685
Uganda,'7214,'7210,'7203,'7306,'7317,'7216,Other Iron,Other Iron,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms","Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406,4 mm)","Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, whether or not with heads of other material (excluding such articles with heads of copper and staples in strips)",Other Iron,55849,53511,46565,31380,10033,6647,0.347348122,0.332807129,0.289607071,0.19516525,0.062399393,0.041340453
United Arab Emirates,'7601,'7408,'7308,'7204,'7404,'7602,Unwrought aluminium,Other Copper,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)",7041649,2067773,1385771,724480,683588,558815,1.13683245,0.333829682,0.223724506,0.116962997,0.110361227,0.090217366
Uzbekistan,'7403,'7408,'7411,'7210,'7901,'8102,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Other Copper,Other Copper,Other Iron,Unwrought zinc :,Molybdenum and articles thereof,753554,508732,377917,198465,162300,58838,1.182734389,0.798476063,0.593156472,0.311499084,0.25473661,0.092348692
Yemen,'7204,'7404,'7602,'7801,'7403,'7406,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)",Unwrought lead :,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Powders and flakes, of copper (excl. grains of copper and spangles of heading 8308)",96299,44251,32584,2893,1961,1321,7.595097444,3.490074217,2.569898494,0.228170769,0.154663975,0.104187206
Zambia,'7402,'7403,'7202,'7408,'7214,'7801,"Copper, unrefined; copper anodes for electrolytic refining","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Ferro-alloys,Other Copper,Other Iron,Unwrought lead :,5844526,1665054,112034,79815,57428,16639,25.91618253,7.383292227,0.496788549,0.353920935,0.254651024,0.073781751
Zimbabwe,'7501,'7202,'7206,'7323,'7204,'7308,"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :",Ferro-alloys,"Iron and non-alloy steel in ingots or other primary forms (excl. remelting scrap ingots, products obtained by continuous casting and iron of heading 7203)","Table, kitchen or other household articles, and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel (excl. cans, boxes and similar containers of heading 7310; waste baskets; shovels, corkscrews and other articles of the nature of a work implement; articles of cutlery, spoons, ladles, forks etc. of heading 8211 to 8215; ornamental articles; sanitary ware)","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)",988660,334494,8580,4957,3070,1644,6.649462244,2.249717015,0.057706781,0.033339454,0.020647997,0.011057103
